"Index","Open","High","Low","Close","Volume","Adjusted"
2009-05-21,92.639999,92.639999,92.639999,92.639999,1,92.639999
2009-05-22,93.059998,93.059998,93.059998,93.059998,1,93.059998
2009-05-25,93.160004,93.160004,93.160004,93.160004,1,93.160004
2009-05-26,94.32,94.32,94.32,94.32,1,94.32
2009-05-27,94.580002,94.580002,94.580002,94.580002,1,94.580002
2009-05-28,93.360001,93.360001,93.360001,93.360001,1,93.360001
2009-05-29,93.18,93.18,93.18,93.18,1,93.18
2009-06-01,97.110001,97.110001,97.110001,97.110001,1,97.110001
2009-06-02,97.419998,97.419998,97.419998,97.419998,1,97.419998
2009-06-03,95.599998,95.599998,95.599998,95.599998,1,95.599998
2009-06-04,95.989998,95.989998,95.989998,95.989998,1,95.989998
2009-06-05,96.220001,96.220001,96.139999,96.139999,11,96.139999
2009-06-08,94.769997,94.989998,94.769997,94.769997,34,94.769997
2009-06-09,94.57,94.580002,94.57,94.57,3,94.57
2009-06-10,95.529999,95.529999,95.529999,95.529999,1,95.529999
2009-06-11,96.699997,96.699997,95.589996,96.699997,34,96.699997
2009-06-12,95.940002,95.940002,95.940002,95.940002,1,95.940002
2009-06-15,92.690002,95.199997,92.690002,92.690002,1,92.690002
2009-06-16,92.68,92.68,92.370003,92.68,0,92.68
2009-06-17,90.82,92.040001,90.82,90.82,0,90.82
2009-06-18,91.410004,91.410004,90.980003,91.410004,0,91.410004
2009-06-19,91.330002,91.769997,91.330002,91.769997,2,91.769997
2009-06-22,88.919998,91.57,88.919998,88.919998,0,88.919998
2009-06-23,88.970001,88.970001,88.739998,88.970001,0,88.970001
2009-06-24,91.339996,91.339996,89.389999,91.339996,0,91.339996
2009-06-25,90.730003,90.82,90.730003,90.730003,0,90.730003
2009-06-26,91.25,91.25,90.290001,90.290001,2,90.290001
2009-06-29,92.199997,92.199997,90.120003,92.199997,0,92.199997
2009-06-30,91.150002,92.5,91.150002,91.150002,0,91.150002
2009-07-01,92.550003,92.550003,91.580002,92.550003,0,92.550003
2009-07-02,89.57,92.040001,89.57,89.57,0,89.57
2009-07-03,89.769997,89.769997,88.860001,88.860001,2,88.860001
2009-07-06,88.129997,88.129997,88.110001,88.129997,0,88.129997
2009-07-07,86.879997,88.18,86.879997,86.879997,0,86.879997
2009-07-08,86.379997,86.970001,86.379997,86.379997,0,86.379997
2009-07-09,87.349998,87.349998,87.050003,87.349998,0,87.349998
2009-07-10,86.980003,87.050003,86.470001,86.470001,2300,86.470001
2009-07-13,88.93,88.93,86.010002,88.93,0,88.93
2009-07-14,90.339996,90.339996,89.309998,90.339996,0,90.339996
2009-07-15,93.110001,93.110001,91.230003,93.110001,0,93.110001
2009-07-16,93.940002,93.940002,92.82,93.940002,55,93.940002
2009-07-17,94.459999,94.459999,94.220001,94.220001,2,94.220001
2009-07-20,95.019997,95.059998,95.019997,95.059998,2,95.059998
2009-07-21,95.059998,96.209999,95.059998,96.209999,2,96.209999
2009-07-22,96.139999,96.599998,96.139999,96.599998,2,96.599998
2009-07-23,96.970001,98.980003,96.919998,98.980003,10,98.980003
2009-07-24,98.400002,98.669998,98.400002,98.669998,2,98.669998
2009-07-27,99.610001,99.610001,98.849998,98.849998,2,98.849998
2009-07-28,99.349998,99.349998,97.650002,97.650002,2,97.650002
2009-07-29,97.519997,99.300003,97.519997,99.300003,2,99.300003
2009-07-30,100.029999,101.300003,100.029999,101.300003,2,101.300003
2009-07-31,101.110001,101.110001,100.68,100.68,2,100.68
2009-08-03,102.349998,102.349998,102.349998,102.349998,1,102.349998
2009-08-04,101.919998,102.169998,101.919998,102.169998,2,102.169998
2009-08-05,101.830002,101.830002,101.059998,101.059998,2300,101.059998
2009-08-06,101.739998,101.739998,101.260002,101.260002,2,101.260002
2009-08-07,102.910004,102.910004,102.910004,102.910004,10,102.910004
2009-08-10,102.139999,102.139999,102.059998,102.059998,2,102.059998
2009-08-11,102.360001,102.360001,99.720001,99.720001,2,99.720001
2009-08-12,99.860001,100.940002,99.860001,100.940002,2,100.940002
2009-08-13,101.339996,101.919998,101.339996,101.919998,2,101.919998
2009-08-14,102.230003,102.230003,100.379997,100.379997,125,100.379997
2009-08-17,99.550003,99.550003,98.559998,98.559998,2,98.559998
2009-08-18,99.199997,99.199997,99.099998,99.099998,2,99.099998
2009-08-19,98.449997,99.260002,98.449997,99.260002,2,99.260002
2009-08-20,100.410004,100.629997,100.410004,100.629997,2,100.629997
2009-08-21,100.330002,103.230003,100.330002,103.230003,2,103.230003
2009-08-24,103.849998,104.260002,103.849998,104.25,219,104.25
2009-08-25,103.82,105.139999,103.82,105.139999,2,105.139999
2009-08-26,104.760002,104.760002,104.57,104.57,2,104.57
2009-08-27,104.32,104.32,103.57,103.57,2,103.57
2009-08-28,104.489998,105.07,104.480003,104.480003,25,104.480003
2009-08-31,103.440002,103.519997,103.440002,103.519997,2,103.519997
2009-09-01,104.129997,104.129997,101.07,101.07,2,101.07
2009-09-02,100.900002,100.900002,100.709999,100.709999,2,100.709999
2009-09-03,100.989998,100.989998,100.440002,100.440002,2,100.440002
2009-09-04,101.160004,101.760002,101.160004,101.760002,2,101.760002
2009-09-07,102.830002,103.449997,102.830002,103.410004,29,103.410004
2009-09-08,103.860001,103.860001,103.809998,103.809998,2,103.809998
2009-09-09,103.540001,105.440002,103.540001,105.440002,2,105.440002
2009-09-10,106.160004,106.160004,105.779999,105.779999,2,105.779999
2009-09-11,106.43,106.540001,106.43,106.480003,3,106.480003
2009-09-14,105.449997,106.230003,105.449997,106.230003,2,106.230003
2009-09-15,106.470001,106.57,106.470001,106.57,2,106.57
2009-09-16,107.110001,107.959999,107.110001,107.959999,2,107.959999
2009-09-17,108.709999,108.709999,108.559998,108.559998,2,108.559998
2009-09-18,108.18,108.32,108.18,108.32,2,108.32
2009-09-21,107.470001,107.470001,107.220001,107.220001,2,107.220001
2009-09-22,107.760002,107.760002,107.75,107.75,2,107.75
2009-09-23,107.849998,107.849998,107.68,107.68,2,107.68
